parent_lemma;parent_variant;parent_pos;parent_comment;child_lemma;child_variant;child_pos;child_comment
fotografka;1;2;##K:  ##D: . [##P: ] {##L: };fotograf;1;2;##K: og. ##D: osoba, która robi zdjęcia (również amatorsko).
fotomodelka;1;2;##K:  ##D: . [##P: ] {##L: };fotomodel;1;2;##K:  ##D: . [##P: ] {##L: }
fotoreporterka;1;2;##K:  ##D: . [##P: ] {##L: };fotoreporter;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
frajerka;1;2;pot.;frajer;1;2;##K: pot. ##D: człowiek naiwny, taki, którego łatwo można oszukać, nabrać. [##P: Ten frajer dał sobie wcisnąć stary, niesprawny sprzęt.] ##A1: {złość, wstręt, nieużyteczność, niewiedza, błąd} - m [Frajer z tego Grześka, żeby dać się tak perfidnie oszukać.] ##A2: {złość, wstręt, nieużyteczność, niewiedza, błąd} - m [Sprzedałem tego grata jakiemuś frajerowi.]
franciszkanka;1;2;##K: og. ##D: zakonnica z jednego ze zgromadzeń założonych w duchowości franciszkańskiej, na podstawie Reguły dla III Zakonu Regularnego (Świeckich). [##P: ] {##L: };franciszkanin;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
Francuzka;1;2;##K: og. ##D: mieszkanka Francji, kobieta pochodzenia francuskiego.;Francuz;1;2;##K: og. ##D: mieszkaniec Francji, człowiek pochodzenia francuskiego.
freeganka;1;2;##K: og.;freeganin;1;2;##K: og. ##D: człowiek, który kontestuje konsumpcjonizm poprzez odżywianie się tym, co sam wyhoduje, dostanie, znajdzie (w tym głównie: rzeczami wyrzuconymi przez innych ludzi) - bez płacenia za jedzenie. [##P: Według freegan jedzenie nie jest towarem, jest prawem człowieka.]
freelancerka;1;2;##K: og. ##D: kobieta pracująca dla różnych instytucji, ale niezwiązana z żadną z nich stałą umową.;freelancer;1;2;##K: og. ##D: osoba pracująca dla różnych instytucji, ale niezwiązana z żadną z nich stałą umową. [##W: Agencje tłumaczeń działają jako pośrednicy między zlecającymi klientami a współpracującymi z agencją freelancerami lub rzadziej zatrudnionymi w niej na stałe tłumaczami.] {##L: http://pl.wikipedia.org/wiki/Freelancer}
frustratka;1;2;##K:  ##D: . [##P: ] {##L: };frustrat;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: {smutek, złość, nieużyteczność, błąd, krzywda} - m [Po latach pracy w fabryce ryb stał się kłębkiem nerwów i skończonym frustratem.] ##A2: {smutek, złość, nieużyteczność, błąd, krzywda} - m [Seria niepowodzeń zrobiła z niego frustrata.]
frutarianka;1;2;##K: og.;frutarianin;1;2;##K:  ##D: . [##P: ] {##L: }
Frygijka;2;2;##K: specj. ##D: przedstawicielka ludu Frygijczyków, mieszkanka Frygii.;Fryg;1;2;##K: specj. ##D: przedstawiciel starożytnego ludu Frygijczyków, mieszkaniec Frygii.
fryzjerka;1;2;##K:  ##D: . [##P: ] {##L: };fryzjer;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
Fryzyjka;1;2;##K: og. ##D: członkini ludu pochodzenia germańskiego zamieszkującego obszary dawnej Fryzji (dzisiejsze Niemcy i Holandia).;Fryz;7;2;##K: og. ##D: przedstawiciel ludu pochodzenia germańskiego zamieszkującego obszary dawnej Fryzji (dzisiejsze Niemcy i Holandia).
fundamentalistka;1;2;##K:  ##D: . [##P: ] {##L: };fundamentalista;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: {strach, wstręt, nieużyteczność, krzywda} - m [Nie przerażają Cię religijni fundamentaliści?] ##A2: {strach, wstręt, nieużyteczność, krzywda, błąd} - m [Trzymaj się z daleko od tych fundamentalistów, bo oni nie traktują przyjaźnie ludzi innej wiary.]
fundatorka;1;2;##K: og. ##D: założycielka, ofiarodawczyni.;fundator;1;2;##K: książk. ##D: założyciel instytucji, twórca fundacji, osoba, która z własnych środków finansuje i inicjuje działania o znaczeniu społecznym. [##W: Został pochowany w kościele Świętej Anny w Warszawie, którego był głównym fundatorem.]
fundatorka;2;2;##K: og. ##D: płatniczka, sponsorka.;fundator;2;2;##K: pot.  ##D: płatnik, osoba, która ponisi koszty za coś, płaci za coś komuś, funduje komuś coś.  [##P: Zostań moim fundatorem i kup mi coś dobrego do jedzenia.] [##P: Fundatorem nagród była mała, lokalna firma.]
funkcjonariuszka;1;2;##K:  ##D: . [##P: ] {##L: };funkcjonariusz;1;2;##K:  ##D: . [##P: ] {##L: }
furfantka;1;2;##K:  ##D: . [##P: ] {##L: };furfant;1;2;przest.
furiatka;1;2;##K:  ##D: . [##P: ] {##L: };furiat;1;2;##K: książk. ##D: złośnik, szajbus, wariat, człowiek, który łatwo wpada w furię. ##A1: {złość, strach, zaskoczenie, nieużyteczność, krzywda, nieszczęście} - m [Janusz zachowywał się jak rasowy furiat - drobne rzeczy wyprowadzały go z równowagi i wtedy kompletnie tracił panowanie nad sobą.] ##A2: {złość, krzywda} - m [Jurek z niewiadomych przyczyn potrafił nagle zacząć rzucać talerzami - taki z niego furiat.]
furtianka;1;2;##K:  ##D: . [##P: ] {##L: };furtian;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
futbolistka;1;2;##K: og. ##D: kobieta grająca w piłkę nożną. [##P: Za dziecka marzyłam, żeby zostać futbolistką, ale jednak poszłam w stronę piłki siatkowej.] {##L: };futbolista;1;2;##K: og. ##D: gracz w piłkę nożną, nazywaną potocznie futbolem. [##P: Mąż jest futbolistą w dużym klubie, więc zarabia świetnie.] {##L: }
futurystka;1;2;##K:  ##D: . [##P: ] {##L: };futurysta;1;2;##K:  ##D: . [##P: ] {##L: } ##A1: 0 ##A2: 0
Gabonka;1;2;##K: og. ##D: mieszkanka Gabonu, kobieta pochodzenia gabońskiego.;Gabończyk;1;2;##K: og. ##D: mieszkaniec Gabonu, człowiek pochodzenia gabońskiego.
Gagauzka;1;2;##K: specj. ##D: członkini grupy etnicznej pochodzenia tureckiego, zamieszkującej tereny głównie w południowej Mołdawii. ;Gagauz;1;2;##K: specj. ##D: członek grupy etnicznej pochodzenia tureckiego, zamieszkującej tereny głównie w południowej Mołdawii. 
galerniczka;1;2;##K: og. ##D: pracowniczka, często: właścicielka, galerii sztuki. [##P: Bez takich kontaktów nie mogłabym pracować jako galerniczka.];galernik;3;2;##K: og. ##D: pracownik, często: właściciel, galerii sztuki.
galerniczka;2;2;##K: og. ##D: kobieta, która musi znosić jakiś trud, poświęca się czemuś, ciążko pracuje. [##P: Oto ja: galerniczka literatury.];galernik;2;2;##K: książk. ##D: przenośnie o człowieku, który bardzo ciężko pracuje.
galerzystka;1;2;##K: og. ##D: pracowniczka, często: właścicielka, galerii sztuki.;galerzysta;1;2;##K: og. ##D: pracownik, często: właściciel, galerii sztuki. [##P: Znany był bardziej jako galerzysta niż malarz.]
Galicjanka;1;2;##K: og. ##D: mieszkanka Galicji - ziem dawnego zaboru austriackiego w Europie Środkowej.;Galicjanin;1;2;##K: og. ##D: mieszkaniec Galicji - ziem dawnego zaboru austriackiego w Europie Środkowej.
Galicyjka;1;2;##K: og.;Galicyjczyk;1;2;##K: og.
Galijka;1;2;##K: og. ##D: mieszkanka Galii, przedstawicielka plemienia celtyckiego.;Gal;3;2;##K: og. ##D: mieszkaniec Galii, przedstawiciel plemienia celtyckiego. [##W: Po zwycięstwie Juliusza Cezara nad Galami w bitwie pod Alezją (52 p.n.e.), Cezar nadał całej Galii status prowincji.]
Galilejka;1;2;##K: og. ##D: mieszkanka Galilei - krainy historycznej na Bliskim Wschodzie, kobieta pochodzenia galilejskiego.;Galilejczyk;2;2;##K: og. ##D: mieszkaniec Galilei - krainy historycznej na Bliskim Wschodzie, człowiek pochodzenia galilejskiego.
